Location,Entity
TA-3,BB211
TA-3,BB212
TA-3,BB213
TA-3,BB214
TA-3,BB215
TA-3,BB216
TA-3,BB217
TA-3,BB218
TA-3,BB219
TA-3,BB220
TA-3,BB221
TA-3,BB222
TA-3,BB223
TA-3,BB224
TA-3,BB225
TA-3,BB226
TA-3,BB227
TA-3,BB228
TA-3,BB229
TA-3,BB230
TA-3,BB231
TA-3,BB232
TA-3,BB233
TA-3,BB234
TA-3,BB235
TA,BB441
TA,BB442
TA,BB443
TA,BB444
TA,BB445
TA,BB446
TA,BB447
TA,BB448
TA,BB449
TA,BB450
TA,BB451
TA,BB452
TA,BB453
TA,BB454
TA,BB455
TA,BB456
TA,BB457
TA,BB458
TA,BB459
TA,BB460
TA,BB461
TA,BB462
TA,BB463
TA,BB465
TA,BB466
TA,BB467
TA,BB468
TA,BB469
TA,BB470
TA,BB471
TA,BB472
TA,BB473
TA,BB474
TA,BB475
TA,BB476
TA,BB477
TA,BB478
TA,BB479
TA,BB480
TA,BB481
TA,BB482
TA,BB483
TA,BB484
TA,BB485
TA,BB486
TA,BB487
TA,BB488
TA,BB489
TA,BB490
TA,BB496
TA,BB497
TA,BB498
TA,BB499
TA,BB500
TA,BB501
TA,BB502
TA,BB503
TA,BB504
TA,BB505
TA,BB506
TA,BB507
TA,BB508
TA,BB509
TA,BB510
TA,BB511
TA,BB512
TA,BB513
TA,BB514
TA,BB515
TA,BB516
TA,BB517
TA,BB518
TA,BB519
TA,BB520
TA,BB521
TA,BB522
TA,BB523
TA,BB524
TA,BB525
TA,BB526
TA,BB527
TA,BB528
TA,BB529
TA,BB530
TA,BB531
TA,BB532
TA,BB533
TA,BB534
TA,BB535
TA,BB536
TA,BB537
TA,BB538
TA,BB539
TA,BB540
TA,BB541
TA,BB542
TA,BB543
TA,BB544
TA,BB545
TA,BB546
TA,BB547
TA,BB548
TA,BB549
TA,BB550
TA,BB551
TA,BB552
TA,BB553
TA,BB554
TA,BB555
TA,BB556
TA,BB557
TA,BB558
TA,BB559
TA,BB560
TA,BB561
TA,BB562
TA,BB563
TA,BB564
TA,BB565
TA,BB566
TA,BB567
TA,BB568
TA,BB569
TA,BB570
TA,BB571
