ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER
BB211,0,UTC3000 ,RUNNING ,N47NVKJ01,,3400,345XTNV054, SC7800490S-20000-00186{SS,ANV345XTB002A,629,6202,2020/12/19 05:10,2020/12/19 10:50,PHISON ,STBGA345SAC ,201116003,,110.9884,,3000M ,TA-A20 ,,3400
BB212,0,UTC3000 ,RUNNING ,N50AWC910,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,33736,2020/12/18 21:46,2020/12/19 09:32,MXIC ,TSOP1-48/M2 ,8H693900 ,,61.2184,,3000M ,TA-A19 ,,2200
BB213,0,UTC3000 ,SETUP ,N50AWCB31,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,33752,2020/12/19 08:25,2020/12/19 08:55,MXIC ,TSOP1-48/M2 ,8H696300 ,CC ,61.2184,,3000M ,TA-A19 ,,2200
BB214,0,UTC3000 ,RUNNING ,N50AWCW12,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,16946,2020/12/19 05:46,2020/12/19 17:32,MXIC ,TSOP1-48/M2 ,8H696400 ,,61.2184,,3000M ,TA-A19 ,,2200
BB215,0,UTC3000 ,RUNNING ,N49LWIY01,,2200,096EELW003, SPSUBV91AX16E-Z-BG63-QFG-,ALW096EE2001A,3031,3039,2020/12/18 22:17,2020/12/19 08:08,MTI-S ,FBGA-96UEE ,GMB5372.11 ,,308.6367,,3000M ,TA-A19 ,,2200
BB216,0,UTC3000 ,RUNNING ,N50AWC904,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,33736,2020/12/18 20:55,2020/12/19 08:40,MXIC ,TSOP1-48/M2 ,8H693900 ,,61.2184,,3000M ,TA-A19 ,,2200
BB217,0,UTC3000 ,RUNNING ,N50AWCW09,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,16946,2020/12/19 04:47,2020/12/19 16:32,MXIC ,TSOP1-48/M2 ,8H696400 ,,61.2184,,2000M ,TA-A20 ,,2200
BB218,0,UTC3000 ,RUNNING ,N50AWC930,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,33736,2020/12/19 01:18,2020/12/19 13:04,MXIC ,TSOP1-48/M2 ,8H693900 ,,61.2184,,1000M ,TA-A20 ,,2200
BB219,0,UTC3000 ,RUNNING ,N50AWCW08,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,16946,2020/12/19 05:32,2020/12/19 17:18,MXIC ,TSOP1-48/M2 ,8H696400 ,,61.2184,,3000M ,TA-A20 ,,2200
BB220,0,UTC3000 ,RUNNING ,N50AWCX01,,2200,048TPAW103, 5480CNB-48TG000,AAW048TP1008B,720,33977,2020/12/19 06:15,2020/12/19 18:01,MXIC ,TSOP1-48/M2 ,8H696500 ,,61.2184,,3000M ,TA-A20 ,,2200
